048,051,048,026,021,022,021,021,022,029,063,057,060,062,063,057,062,063,063,072,100,096,097,096,097,097,096,096,101,024,007,044
026,021,022,029,057,061,061,058,061,062,063,057,058,062,063,057,062,063,072,100,103,076,083,085,085,085,083,100,103,023,005,000
029,057,060,062,057,060,059,058,061,062,063,057,059,062,063,057,062,072,100,103,076,123,135,141,075,089,100,103,026,029,006,048
063,057,059,062,057,058,061,059,060,062,063,057,061,062,063,066,071,100,103,076,123,137,075,138,138,091,098,025,024,001,049,000
063,057,060,062,057,060,060,060,061,062,072,066,069,071,072,092,096,103,076,123,075,137,137,075,075,090,102,094,023,003,051,053
063,057,058,062,066,070,069,068,067,071,076,084,085,084,083,084,084,085,123,075,075,135,075,075,075,124,084,077,028,027,005,048
063,066,069,071,076,084,084,083,085,085,123,075,140,075,075,075,075,075,138,138,075,075,075,140,075,075,075,091,063,024,003,051
072,076,083,084,123,075,075,075,135,075,075,075,075,135,075,139,075,137,075,138,138,075,075,135,075,136,075,089,063,028,027,003
084,123,075,075,075,075,075,075,075,135,135,135,135,075,075,075,137,075,075,075,075,075,075,075,075,136,136,091,072,063,028,027
075,075,138,075,075,138,138,075,138,075,138,075,075,140,075,075,137,075,135,075,075,139,075,141,075,136,075,124,077,063,063,020
138,138,138,138,075,075,138,075,075,075,075,138,075,075,075,075,075,075,135,075,075,075,075,075,075,136,075,135,091,063,063,025
088,087,086,125,075,075,075,075,139,075,075,138,075,075,075,138,138,075,138,138,075,075,075,075,075,138,075,075,090,072,063,063
022,021,027,078,125,075,075,075,075,075,075,138,075,138,138,138,075,075,075,075,138,075,137,137,138,075,075,138,124,077,072,063
008,002,028,027,078,125,138,138,075,075,138,138,075,138,137,137,075,075,075,138,075,075,075,075,075,075,138,075,075,124,077,072
047,050,002,028,027,082,075,138,075,075,075,075,075,075,075,075,141,075,138,136,075,075,136,136,136,075,138,138,075,075,124,083
000,055,050,002,023,080,075,138,075,140,075,138,075,075,075,075,075,075,075,136,136,075,075,075,075,139,075,075,140,075,075,075
051,000,052,004,024,081,075,138,135,135,137,138,075,075,139,075,138,138,075,075,140,075,075,138,075,075,075,075,075,075,075,135
000,000,016,026,029,082,075,075,075,135,075,075,075,138,138,075,075,075,075,075,075,075,075,138,075,135,135,135,135,138,138,135
054,052,004,024,076,123,075,075,139,075,135,138,075,075,138,137,137,075,135,075,075,137,075,138,136,075,141,138,138,138,075,135
000,014,026,029,081,075,075,075,136,075,138,138,138,138,137,137,136,136,075,075,139,075,075,075,136,075,075,075,137,075,139,135
052,004,023,076,123,075,075,075,075,075,137,137,137,075,075,075,136,136,138,138,075,138,138,136,136,138,138,075,075,075,075,075
015,026,029,082,075,075,138,075,075,075,075,075,137,075,140,075,136,075,075,075,075,138,075,075,075,138,075,075,136,136,075,075
016,023,076,123,075,136,138,075,141,075,075,075,137,075,075,135,135,139,075,135,135,075,075,075,075,075,075,135,136,075,126,088
014,024,080,075,136,136,136,138,138,138,075,075,075,075,075,075,075,075,075,075,075,136,075,075,139,075,136,075,126,086,079,025
014,023,081,075,075,075,136,136,075,075,075,075,075,139,075,138,138,138,138,075,140,136,075,075,075,126,087,088,079,026,022,021
015,023,078,125,075,140,075,135,136,126,088,087,087,086,125,075,138,138,138,138,075,136,126,086,087,079,026,022,021,029,001,008
016,028,027,078,125,075,075,075,126,079,026,021,022,027,078,125,075,138,075,075,136,075,090,025,026,021,029,001,009,008,049,000
050,002,028,027,078,088,087,086,079,026,029,001,002,028,027,081,075,075,075,075,136,075,124,077,023,017,037,049,000,052,000,055
047,050,002,028,022,021,022,021,021,029,001,049,050,002,024,078,125,136,136,075,141,075,136,089,028,027,003,051,049,000,000,000
000,000,050,009,008,008,009,010,010,009,049,000,048,014,028,027,081,075,136,075,075,075,136,124,077,028,027,003,051,000,000,053
