00,54,00,52,00,00,00,53,00,52,11,04,57,62,63,63,57,03,12,04,57,62,03,12,51,46,46,00,53,00,53,46
00,00,53,00,00,00,00,46,52,04,57,60,58,62,72,72,57,58,62,57,60,62,67,62,03,00,00,00,00,46,00,00
46,00,53,00,53,00,00,52,04,63,57,58,60,71,76,77,66,69,71,57,58,62,93,71,57,12,51,00,46,54,00,46
00,00,00,00,53,00,52,15,60,63,66,67,71,76,123,124,85,83,77,66,69,71,106,77,57,62,03,51,00,54,00,00
00,53,00,00,00,00,52,04,58,63,92,96,111,123,138,138,75,137,124,85,84,83,123,89,66,71,57,6,53,00,00,46
00,00,46,00,00,54,14,57,59,63,61,71,80,135,138,75,142,138,136,137,136,75,75,124,85,77,57,03,11,13,12,51
52,00,00,53,00,52,04,57,58,72,71,76,123,139,138,135,75,137,135,75,141,136,75,138,75,90,57,62,57,59,62,03
00,00,54,00,52,4,57,58,71,76,83,123,136,137,137,135,138,75,138,138,138,137,139,136,135,89,66,71,57,58,62,71
52,00,00,00,14,63,60,62,92,128,136,137,138,75,135,75,75,75,75,137,138,138,75,135,138,124,83,77,66,67,71,76
46,00,52,52,04,63,68,69,71,81,75,138,75,137,135,136,138,138,136,135,75,138,75,75,137,75,138,124,85,84,83,75
00,00,52,04,63,63,92,97,111,123,141,136,135,75,137,75,138,136,141,75,135,142,135,75,135,135,75,75,135,135,75,142
00,53,16,63,63,72,66,71,80,75,138,75,75,135,75,138,138,136,136,135,138,75,138,75,138,75,135,138,139,126,86,87
52,00,14,63,72,76,83,84,123,75,75,138,138,139,135,136,136,137,136,142,136,135,75,75,75,138,138,75,126,79,25,25
00,00,15,63,76,116,86,125,137,138,137,138,137,135,135,135,75,138,138,135,136,75,138,75,141,138,135,75,90,01,08,09
00,54,14,72,78,79,25,78,125,136,138,136,138,75,136,75,138,138,140,138,75,138,75,136,138,75,137,126,79,06,00,46
00,00,50,08,09,10,02,25,82,138,136,142,75,136,141,75,138,138,135,138,75,135,140,137,75,126,86,79,01,49,00,00
52,11,13,12,11,12,4,76,123,136,137,138,75,136,136,75,75,138,138,75,135,136,136,75,135,91,17,22,54,00,46,53
14,92,97,111,84,85,83,123,75,75,138,136,136,138,136,139,136,138,138,136,136,139,126,87,86,108,97,94,06,00,00,00
50,09,02,78,87,125,142,137,75,138,138,137,138,75,136,75,136,75,75,75,142,75,89,25,01,09,08,09,49,00,52,00
52,00,50,09,02,78,86,87,125,137,138,138,75,135,140,75,138,137,75,138,75,137,129,94,05,53,00,53,00,00,46,00
46,00,00,00,00,08,36,19,80,75,138,138,135,136,138,136,142,136,135,137,138,75,90,25,03,51,46,46,00,00,00,00
00,00,00,53,0,52,15,92,128,141,75,135,75,138,137,138,137,135,139,75,138,135,124,85,77,03,11,51,53,00,00,53
53,00,46,00,52,00,55,19,81,135,138,75,75,75,138,136,138,137,75,136,137,135,142,135,124,84,94,05,00,00,46,00
00,54,00,00,00,52,4,76,123,137,138,137,75,140,75,137,136,140,75,136,75,138,137,126,86,79,01,49,52,00,00,00
00,00,00,53,00,14,92,128,139,138,75,126,87,88,130,86,88,126,130,130,86,117,75,89,17,22,54,46,00,00,53,00
00,46,00,52,52,34,19,82,137,126,86,79,17,19,102,97,96,103,18,95,18,78,125,124,83,77,05,00,00,00,00,52
00,00,00,00,15,76,83,123,140,90,01,10,08,09,10,09,10,09,53,08,53,02,78,140,130,79,07,52,00,53,00,00
53,00,52,11,04,81,126,87,86,79,05,00,52,00,53,00,00,00,46,00,52,50,02,78,105,17,54,00,00,00,00,54
52,00,16,100,97,109,79,01,08,09,49,00,46,00,00,53,00,00,00,52,00,00,50,02,102,94,07,52,00,46,00,00
00,00,15,95,01,09,08,49,52,00,00,00,00,52,00,00,00,00,53,00,00,00,00,50,08,09,49,00,00,00,00,53
00,00,50,09,49,00,00,46,00,00,53,00,00,00,00,00,54,00,00,00,52,00,00,46,00,00,00,00,53,00,00,52
53,00,52,00,00,53,00,00,53,0,00,46,00,00,52,00,00,46,00,53,0,46,00,00,52,00,00,46,00,53,00,52

