tileswide 32
tileshigh 32
tilewidth 16
tileheight 16

layer 0
0,54,0,52,0,0,0,53,0,52,11,4,57,62,63,63,57,3,12,4,57,62,3,12,51,46,46,0,53,0,53,46,
0,0,53,0,0,0,0,46,52,4,57,60,58,62,72,72,57,58,62,57,60,62,67,62,3,0,0,0,0,46,0,0,
46,0,53,0,53,0,0,52,4,63,57,58,60,71,76,77,66,69,71,57,58,62,93,71,57,12,51,0,46,54,0,46,
0,0,0,0,53,0,52,15,60,63,66,67,71,76,123,124,85,83,77,66,69,71,106,77,57,62,3,51,0,54,0,0,
0,53,0,0,0,0,52,4,58,63,92,96,111,123,138,138,75,137,124,85,84,83,123,89,66,71,57,6,53,0,0,46,
0,0,46,0,0,54,14,57,59,63,61,71,80,135,138,75,142,138,136,137,136,75,75,124,85,77,57,3,11,13,12,51,
52,0,0,53,0,52,4,57,58,72,71,76,123,139,138,135,75,137,135,75,141,136,75,138,75,90,57,62,57,59,62,3,
0,0,54,0,52,4,57,58,71,76,83,123,136,137,137,135,138,75,138,138,138,137,139,136,135,89,66,71,57,58,62,71,
52,0,0,0,14,63,60,62,92,128,136,137,138,75,135,75,75,75,75,137,138,138,75,135,138,124,83,77,66,67,71,76,
46,0,52,52,4,63,68,69,71,81,75,138,75,137,135,136,138,138,136,135,75,138,75,75,137,75,138,124,85,84,83,75,
0,0,52,4,63,63,92,97,111,123,141,136,135,75,137,75,138,136,141,75,135,142,135,75,135,135,75,75,135,135,75,142,
0,53,16,63,63,72,66,71,80,75,138,75,75,135,75,138,138,136,136,135,138,75,138,75,138,75,135,138,139,126,86,87,
52,0,14,63,72,76,83,84,123,75,75,138,138,139,135,136,136,137,136,142,136,135,75,75,75,138,138,75,126,79,25,25,
0,0,15,63,76,116,86,125,137,138,137,138,137,135,135,135,75,138,138,135,136,75,138,75,141,138,135,75,90,1,8,9,
0,54,14,72,78,79,25,78,125,136,138,136,138,75,136,75,138,138,140,138,75,138,75,136,138,75,137,126,79,6,0,46,
0,0,50,8,9,10,2,25,82,138,136,142,75,136,141,75,138,138,135,138,75,135,140,137,75,126,86,79,1,49,0,0,
52,11,13,12,11,12,4,76,123,136,137,138,75,136,136,75,75,138,138,75,135,136,136,75,135,91,17,22,54,0,46,53,
14,92,97,111,84,85,83,123,75,75,138,136,136,138,136,139,136,138,138,136,136,139,126,87,86,108,97,94,6,0,0,0,
50,9,2,78,87,125,142,137,75,138,138,137,138,75,136,75,136,75,75,75,142,75,89,25,1,9,8,9,49,0,52,0,
52,0,50,9,2,78,86,87,125,137,138,138,75,135,140,75,138,137,75,138,75,137,129,94,5,53,0,53,0,0,46,0,
46,0,0,0,0,8,36,19,80,75,138,138,135,136,138,136,142,136,135,137,138,75,90,25,3,51,46,46,0,0,0,0,
0,0,0,53,0,52,15,92,128,141,75,135,75,138,137,138,137,135,139,75,138,135,124,85,77,3,11,51,53,0,0,53,
53,0,46,0,52,0,55,19,81,135,138,75,75,75,138,136,138,137,75,136,137,135,142,135,124,84,94,5,0,0,46,0,
0,54,0,0,0,52,4,76,123,137,138,137,75,140,75,137,136,140,75,136,75,138,137,126,86,79,1,49,52,0,0,0,
0,0,0,53,0,14,92,128,139,138,75,126,87,88,130,86,88,126,130,130,86,117,75,89,17,22,54,46,0,0,53,0,
0,46,0,52,52,34,19,82,137,126,86,79,17,19,102,97,96,103,18,95,18,78,125,124,83,77,5,0,0,0,0,52,
0,0,0,0,15,76,83,123,140,90,1,10,8,9,10,9,10,9,53,8,53,2,78,140,130,79,7,52,0,53,0,0,
53,0,52,11,4,81,126,87,86,79,5,0,52,0,53,0,0,0,46,0,52,50,2,78,105,17,54,0,0,0,0,54,
52,0,16,100,97,109,79,1,8,9,49,0,46,0,0,53,0,0,0,52,0,0,50,2,102,94,7,52,0,46,0,0,
0,0,15,95,1,9,8,49,52,0,0,0,0,52,0,0,0,0,53,0,0,0,0,50,8,9,49,0,0,0,0,53,
0,0,50,9,49,0,0,46,0,0,53,0,0,0,0,0,54,0,0,0,52,0,0,46,0,0,0,0,53,0,0,52,
53,0,52,0,0,53,0,0,53,0,0,46,0,0,52,0,0,46,0,53,0,46,0,0,52,0,0,46,0,53,0,52,

